sales_direct,olv_imps,value_currency_rate,thanksgivingday_us_ca,cost_remarketing,martinl_kingsday_us_ca,presidentsday_us_ca,independenceday_us_ca,meta_comp_grp,cost_ppc_non_brand,boxingday,sales_emk,eastermonday,sales_ppc_brand,olv_net_spend_eur,eastersunday,radio_net_spend_eur,labourday_de_nw,sales_shop_tripadvisor,clicks_remarketing,sales_interco,mayday_gb_en,sales_shop_googleha,cost_email,sales_strat_part,fb_imps,remembrance_memorialday_us_ca,fb_cost,clicks_shop_trivago,clicks_email,cost_shop_other,brandtv_net_spend_eur,clicks_shop_other,country,weekstart,clicks_shop_googleha,display_imps,cost_ppc_brand,christmasday,christsascensionday_de_nw,cost_shop_tripadvisor,drtv_grp,ooh_net_spend_eur,yt_cost,newyearsday,sales_shop_trivago,stvalentinesday,display_net_spend_eur,whitmonday_de_nw,germanunityday_de_nw,bankholiday_gb_en,ota_comp_grp,clicks_shop_tripadvisor,cost_shop_trivago,sales_retargeting,cost_shop_googleha,cinema_net_spend_eur,sales_shop_other,totbookings,yt_imps,sales_ppc_nonbrand,clicks_ppc_non_brand,print_net_spend_eur,drtv_net_spend_eur,brandtv_grp,clicks_ppc_brand,labourday_us_ca,_source_sheet,country_std,week_start
389307.0,22593138.0,1.11517703,0.0,136348.35029560607,0.0,0.0,0.0,374.8,3659331.2185134273,0.0,18914.0,0.0,58554.0,36431.1904296875,0.0,32136.056473509998,0.0,21594.0,695454.0116939412,7408.0,0.0,28477.0,0.0,50183.0,20904875.0,0.0,81676.17455186309,830958.2967863083,0.0,129535.15733908123,31229.450936520276,325781.0723667735,gb,2018-08-13,338509.11438856093,19269473.0,64954.33840970294,0.0,0.0,555303.2675414309,228.03,0.0,107377.060546875,0.0,37248.0,0.0,100335.33154296875,0.0,0.0,0.0,322.0,568165.4008386135,843416.1162815094,5264.0,506722.1383160372,0.0,5575.0,765368.0,15796304.0,142844.0,3512831.374549012,0.0,79966.12579589228,72.88,599714.2712792405,0.0,Sheet1,136348.35029560607,
373728.0,21272754.0,1.11517703,0.0,85105.38512425603,0.0,0.0,0.0,337.7,3474674.88768559,0.0,18356.0,0.0,56384.0,32122.841796875,0.0,32136.056473509998,0.0,20918.0,467028.60500415874,7511.0,0.0,27315.0,0.0,48022.0,20838557.0,0.0,90998.03839482063,851156.858288765,70600.0,120890.89295731555,25708.385313256138,302095.14670294314,gb,2018-08-20,314567.6467400143,18153279.0,67007.29642780252,0.0,0.0,519621.4205286503,178.94,0.0,95043.3720703125,0.0,39589.0,0.0,97113.01196289062,0.0,0.0,0.0,260.5,558075.327372551,885622.7468223572,2988.0,459959.5045727464,0.0,5168.0,737942.0,14741697.0,137963.0,3438523.0952922036,0.0,60010.08778881454,49.78,581741.4676455961,0.0,Sheet1,85105.38512425603,
378937.0,15000275.0,1.11517703,0.0,79621.72433768731,0.0,0.0,0.0,365.7,3303880.625612842,0.0,17864.0,0.0,55991.0,26221.278686523438,0.0,32136.056473509998,0.0,21125.0,396932.11660099664,8012.0,0.0,26695.0,0.0,47276.0,51698040.0,0.0,249695.68018917873,785589.7294521332,539913.0,103481.03326489961,81918.48688654364,263310.16627139965,gb,2018-08-27,298885.6825794179,18640963.0,56314.50359952643,0.0,0.0,512189.6353228092,180.74,0.0,65621.1865234375,0.0,38294.0,0.0,86381.1220703125,0.0,0.0,1.0,233.1,563950.1965966225,805521.5137243271,2451.0,427789.3879007028,0.0,5847.0,739662.0,10333673.0,137170.0,3256376.3967349934,0.0,69270.54057324241,54.11,539704.2369906744,0.0,Sheet1,79621.72433768731,
381388.0,17598331.0,1.12002008,0.0,82579.74200256265,0.0,0.0,0.0,218.3,3232533.9155689934,0.0,17957.0,0.0,58126.0,37276.00439453125,0.0,0.0,0.0,21016.0,369592.9525313216,8329.0,0.0,25868.0,0.0,49137.0,43291265.0,0.0,207004.25990275704,750491.3063001633,559114.0,101099.56820021756,154056.0444992799,248009.81722309886,gb,2018-09-03,282351.85336881434,26989563.0,57675.199016483195,0.0,0.0,489260.74744546413,203.32,0.0,75861.1572265625,0.0,37335.0,0.0,87739.90112304688,0.0,0.0,0.0,362.7,521162.1534585953,817126.5156598091,2601.0,410500.03141225834,0.0,5709.0,741720.0,11827937.0,134254.0,3113088.0760869253,0.0,94109.9014370405,121.12,545065.5951168031,1.0,Sheet1,82579.74200256265,
377844.0,23391853.0,1.12002008,0.0,80503.38435005616,0.0,0.0,0.0,218.3,3061549.5214076275,0.0,17456.0,0.0,56482.0,36716.1904296875,0.0,0.0,0.0,20073.0,352592.6973085782,7914.0,0.0,25941.0,0.0,48459.0,50743608.0,0.0,240306.5554694542,733066.8472909927,338410.0,95080.04984445625,364992.03245240607,270270.9938511547,gb,2018-09-10,296445.6612238155,28143688.0,61515.05031405117,0.0,0.0,510566.6157068012,149.61,0.0,111708.2880859375,0.0,36904.0,0.0,97895.46154785156,0.0,0.0,0.0,314.9,498452.3419873385,856765.1245379447,2457.0,456095.7578333771,0.0,5254.0,725737.0,16133544.0,126953.0,2975725.0599085605,0.0,65668.09181316709,351.76,554743.7280596892,0.0,Sheet1,80503.38435005616,
386854.0,8792721.0,1.12002008,0.0,82871.69788457917,0.0,0.0,0.0,220.5,2955775.0501147327,0.0,17897.0,0.0,56338.0,33615.69775390625,0.0,0.0,0.0,19301.0,358623.6936398426,7741.0,0.0,28181.0,0.0,49205.0,45351089.0,0.0,255451.68792259437,632340.1545476913,565718.0,110886.02321858746,1090507.6683821063,292913.4613911308,gb,2018-09-17,318128.6258211817,25621961.0,56013.36715402528,0.0,0.0,487064.1951116638,135.29,0.0,94943.3466796875,0.0,31056.0,0.0,108480.7392578125,0.0,0.0,0.0,238.4,493236.10990419204,733144.7653360367,2348.0,492654.5174805957,0.0,5146.0,728291.0,13528613.0,124224.0,2912599.4419054477,0.0,74205.50453643675,1142.69,564744.0567273479,0.0,Sheet1,82871.69788457917,
379834.0,2338740.0,1.12002008,0.0,59809.46515992017,0.0,0.0,0.0,195.4,2767444.94924127,0.0,17767.0,0.0,55055.0,25554.16845703125,0.0,0.0,0.0,18929.0,283534.85183532594,7267.0,0.0,28947.0,0.0,48420.0,105110725.0,0.0,436476.4913374476,542446.8355426788,409037.0,115502.28965221194,1130452.425273694,264709.3044546771,gb,2018-09-24,315140.26208823,19619092.0,60172.56823182142,0.0,0.0,411569.002775223,135.66,0.0,147661.892578125,0.0,28477.0,0.0,109769.15063476562,0.0,0.0,0.0,117.8,467567.74167368683,577190.996887207,1981.0,505180.30923959514,0.0,6605.0,717876.0,18475037.0,124594.0,2733825.353591648,0.0,67878.03730242231,1411.36,533680.7406591318,0.0,Sheet1,59809.46515992017,
379001.0,3587083.0,1.13290206,0.0,66982.83568204504,0.0,0.0,0.0,135.6,2846361.858856868,0.0,18536.0,0.0,57852.0,45893.68115234375,0.0,0.0,0.0,21455.0,327420.7285397741,7252.0,0.0,29723.0,0.0,49776.0,97078036.0,0.0,436476.4913374476,507718.2370185852,528896.0,106351.90892146823,27872.57325845401,238261.46106788327,gb,2018-10-01,313609.89498506807,21322306.0,68660.4504206822,0.0,0.0,473044.93698978424,154.02,0.0,98287.6171875,0.0,28711.0,0.0,118309.62524414062,0.0,1.0,0.0,130.0,511979.20363903046,534922.836918354,2290.0,509467.3893476747,0.0,6326.0,728283.0,13799062.0,127361.0,2757829.7680240297,0.0,34011.68637791183,9.87,537646.3738154189,0.0,Sheet1,66982.83568204504,
380659.0,2532795.0,1.13290206,0.0,61762.73023094669,0.0,0.0,0.0,243.6,2618709.0326772663,0.0,18713.0,0.0,57706.0,37421.44140625,0.0,0.0,0.0,21831.0,303215.4643288652,7258.0,0.0,29540.0,0.0,49221.0,59438858.0,0.0,279622.5098381504,502100.80691337585,479512.0,102187.49197892609,9810.750413265407,254420.89521090098,gb,2018-10-08,323567.38465138525,22365189.0,68846.8033177931,0.0,0.0,497690.1131415367,77.99,0.0,103928.9775390625,0.0,28581.0,0.0,95997.6953125,0.0,0.0,0.0,159.9,519056.40687942505,553284.4002737999,2012.0,535152.5537398353,0.0,5760.0,724452.0,14542878.0,123171.0,2651767.486732864,0.0,23439.337102153808,3.52,548201.3686688809,0.0,Sheet1,61762.73023094669,
379816.0,0.0,1.13290206,0.0,55844.54093305604,0.0,0.0,0.0,114.8,2113872.3495128877,0.0,17243.0,0.0,56407.0,0.0,0.0,0.0,0.0,20529.0,268340.22548715275,7589.0,0.0,28983.0,0.0,48247.0,66149115.0,0.0,280931.9918550741,454257.95702171326,62607.0,100981.56873723716,15342.8329286285,272634.3980788618,gb,2018-10-15,318480.2395076242,12672858.0,72217.12220932245,0.0,0.0,476488.85789728165,80.38,0.0,31891.327606201172,0.0,26378.0,0.0,69693.00109863281,0.0,0.0,0.0,259.8,500216.5358810425,492211.80752277374,1807.0,523949.57940384414,0.0,6345.0,707143.0,4542048.0,113799.0,2419276.693320624,0.0,19537.03746752219,5.57,525870.5899531181,0.0,Sheet1,55844.54093305604,
