country_std,channel,sales
102871.75133082642,shop_tripadvisor,7210.0
102871.75133082642,shop_trivago,31929.0
102871.75133082642,strat_part,30933.0
103116.96893421782,direct,407824.0
103116.96893421782,emk,26003.0
103116.96893421782,interco,73888.0
103116.96893421782,ppc_brand,41567.0
103116.96893421782,ppc_nonbrand,206704.0
103116.96893421782,retargeting,3428.0
103116.96893421782,shop_googleha,93349.0
103116.96893421782,shop_other,22693.0
103116.96893421782,shop_tripadvisor,58212.0
103116.96893421782,shop_trivago,43254.0
103116.96893421782,strat_part,91684.0
103880.7971060557,direct,260095.0
103880.7971060557,emk,21279.0
103880.7971060557,interco,2559.0
103880.7971060557,ppc_brand,47414.0
103880.7971060557,ppc_nonbrand,149819.0
103880.7971060557,retargeting,2720.0
103880.7971060557,shop_googleha,11252.0
103880.7971060557,shop_other,5188.0
103880.7971060557,shop_tripadvisor,18833.0
103880.7971060557,shop_trivago,26569.0
103880.7971060557,strat_part,32629.0
104103.02012980923,direct,227350.0
104103.02012980923,emk,16879.0
104103.02012980923,interco,1449.0
104103.02012980923,ppc_brand,52319.0
104103.02012980923,ppc_nonbrand,113562.0
104103.02012980923,retargeting,3368.0
104103.02012980923,shop_googleha,12460.0
104103.02012980923,shop_other,5532.0
104103.02012980923,shop_tripadvisor,8857.0
104103.02012980923,shop_trivago,34174.0
104103.02012980923,strat_part,23214.0
104257.96915490611,direct,220337.0
104257.96915490611,emk,15567.0
104257.96915490611,interco,1360.0
104257.96915490611,ppc_brand,48841.0
104257.96915490611,ppc_nonbrand,107195.0
104257.96915490611,retargeting,3324.0
104257.96915490611,shop_googleha,11596.0
104257.96915490611,shop_other,5203.0
104257.96915490611,shop_tripadvisor,7988.0
104257.96915490611,shop_trivago,33238.0
104257.96915490611,strat_part,22216.0
104543.28275240383,direct,346821.0
104543.28275240383,emk,23505.0
104543.28275240383,interco,3967.0
104543.28275240383,ppc_brand,55438.0
104543.28275240383,ppc_nonbrand,170616.0
104543.28275240383,retargeting,4310.0
104543.28275240383,shop_googleha,21921.0
104543.28275240383,shop_other,6164.0
104543.28275240383,shop_tripadvisor,20335.0
104543.28275240383,shop_trivago,43839.0
104543.28275240383,strat_part,40009.0
104942.22777790492,direct,278575.0
104942.22777790492,emk,19948.0
104942.22777790492,interco,2880.0
104942.22777790492,ppc_brand,46890.0
104942.22777790492,ppc_nonbrand,148159.0
104942.22777790492,retargeting,3516.0
104942.22777790492,shop_googleha,12715.0
104942.22777790492,shop_other,5597.0
104942.22777790492,shop_tripadvisor,16026.0
104942.22777790492,shop_trivago,38654.0
104942.22777790492,strat_part,33427.0
104942.46284190333,direct,286105.0
104942.46284190333,emk,12169.0
104942.46284190333,interco,3535.0
104942.46284190333,ppc_brand,48814.0
104942.46284190333,ppc_nonbrand,149920.0
104942.46284190333,retargeting,4119.0
104942.46284190333,shop_googleha,15313.0
104942.46284190333,shop_other,5268.0
104942.46284190333,shop_tripadvisor,17153.0
104942.46284190333,shop_trivago,28689.0
104942.46284190333,strat_part,34095.0
105418.31737595932,direct,275308.0
105418.31737595932,emk,16691.0
105418.31737595932,interco,1492.0
105418.31737595932,ppc_brand,50726.0
105418.31737595932,ppc_nonbrand,112904.0
105418.31737595932,retargeting,3800.0
105418.31737595932,shop_googleha,20143.0
105418.31737595932,shop_other,5124.0
105418.31737595932,shop_tripadvisor,7876.0
105418.31737595932,shop_trivago,37722.0
105418.31737595932,strat_part,34131.0
105639.97674459276,direct,384310.0
105639.97674459276,emk,17219.0
105639.97674459276,interco,2168.0
105639.97674459276,ppc_brand,72879.0
105639.97674459276,ppc_nonbrand,123595.0
105639.97674459276,retargeting,4129.0
105639.97674459276,shop_googleha,34175.0
